you are a support agent. Here is your database of FAQ. 

START DATABASE (csv)

Name of Product,Question,Answer
dex,"Okay..i created pair, added Liquidity but the pool.and also the trades arent showing anywhere. This was the swap. Poo does not show, no price movement.","Do you need more info about your dex? Like this https://v2.info.uniswap.org/home ? If so, we do not have and do not provide these Analytics tools... "
dex,Also the fee recipient disappears every time.,Did you save this setting to the blockchain store? 
dex,They say the router should be what uniswap v2 using,"Yes, we use Uniswap v2 contracts for DEX plugin "
dex,So what we can do in this case? It's not really usefull like a uniswap or Pancakeswap clone because nobody see the trades,As I answered we do not have and do not provide https://v2.info.uniswap.org/home Analytics tools. In our FA
dex,The cross chain dapp. Do i have to add liqudity also to every single pair or it using source?,"Yes, you or your community need to add li"
dex,do I need to add liquidity?,yes 
dex,why does walletconnect not work?,Can you provide more details? Which wallet did you use for testing? 
dex,How do I make my coin to be the first on the list?,You need to create your own tokens list in the admin panel of dex and add there your token/coin. 
dex,can my currency be listed without needing the user to add the list?,"Yes, if you create your own tokens list in the dex admin panel. "
dex,the tokens do not come automatically? Do I have to go putting 1x1?,"Don't get it, please clarify your "
dex,also is there a way you can help me set up the DEX for the WordPress plugin to allow for all of the different chains offered?,"Yes, we can send you a modified plugin with this functionality. - 100 USD "
dex,"Also can we have Celo, Optimism, Arbitrum, and Metis added to the DEX? How much would that cost","We can get you a discount and add these 4 Networks for 600 USD, but also we need some amount of native coins to deploy the re"
dex,"I want to install the software for a decentralized exchange on my website and have the option that my clients can farm or stake with my own token, is this possible with you right?","You can use our DEX product that provides a swap function and you or your users can create LP and earn with it. With our Farming product, you can create a farm smart contract with your token and provide to your users a way to staked your tokens and get a reward as your tokens or as any other ERC20/BEP20 tokens (depending on a network). "
dex,does your DEX have the same features as panckswap?,This plugin has only swap and Liquidity
dex,can i charge % per transaction?,"Yes, with this plugin you create a new dex with new Liquidity"
dex,Our fee will be higher than uniswap or pancake?,"It depends on your needs, if you want you can set 0 fees for each transaction... "
dex,Why? It's useless like so,Because you are first our client who uses this browser... 
dex,"Okay..i created pair, added Liquidity but the pool.and also the trades arent showing anywhere. This was the swap. Poo does not show, no price movement.","Do you need more info about your dex? Like this https://v2.info.uniswap.org/home ? If so, we do not have and do not provide these Analytics tools... "
dex,Also the fee recipient disappears every time.,Did you save this setting to the blockchain store? 
dex,"I want to install the software for a decentralized exchange on my website and have the option that my clients can farm or stake with my own token, is this possible with you right?","You can use our DEX product that provides a swap function and you or your users can create LP and earn with it. With our Farming product, you can create a farm smart contract with your token and provide to your users a way to staked your tokens and get a reward as your tokens or as any other ERC20/BEP20 tokens (depending on a network). "
dex,"I have set the token lists to https://tokens.pancakeswap.finance/coingecko.json and confirmed the txn, but the token list is not loading whenever i open my website.",Did you read our knowledge base articles? - https://support.onout.org/hc/1331700057/23/howtoaddtokens?category_id=2 
dex,Can i know how to change the router contract to our custom address?,"If it Uniswap Router v2 contract, then yes, you need to set it in the manage panel and save it to the network storage. "
dex,Can you tell us how to use the migration option in the dex? ,"If you have successfully set up the domain, you can follow the Migration section in the manage panel on this domain and use a new domain to migrate all settings there. "
dex,The wallet link comes first on the Home Screen. Is it possible to start directly with the swap page?,"As far as I know, this is not possible at the moment... But I think we can implement this feature. "
dex,You say that you are applying Proxy in contracts. It looks like this can cause a lot of contract exploits. What are you authorized to change?,"Don't get it fully, please clarify your "
dex,Is the product we will buy licensed for only one site? Can we install it on other sites?,"Yes, you can use one license on other sites at the moment. "
dex,"We are a technology company and we would like to make a sales partnership regarding this product, is it possible?","I think it is possible, I can connect you with our founder to you can discuss this... 
 "
dex,"can I get a dex that supports BSC, ERC20 AND OTHER NETWORK?","Sure, you can create your own uniswap-like dex on any supported network with this app. Also, we can add any EVM-like network you want - https://support.onout.org/hc/1331700057/32/addnewnetwork?category_id=8 "
dex,Can I also add auto slippage function just like poocoin?,"We need to check it, maybe there is possible to make it with uniswap v2 contracts... "
dex,Is that AMM available in v2?,"Yes, you or any of your users can create any li"
dex,"Is this dex , shall we create the poygon and other networks also?",You can use only polygon network. 
dex,Our token is Erc20 polygon mainnet. What we do?,The dex is support polygon network and its erc20-like tokens 
dex,We can create a liquidity pool too. But only thing is we need to pull the real-time price from uniswap V3. Can your team help us in this?,"Not sure about that, I don't know any WebSocket services to get real-time prices from uniswap contracts... "
dex,We need to swap our own tokens only.,"Yes, you can set your tokens list with multiple pairs and it will show to your users. "
dex,can you help me with the api endpoint for swap?,"Yes, I think we can help you with it. "
dex,Can 3rd party applications like Sanity.io or Moralis be integrated into DEX,"No, we don't provide a custom development of our products, we can add features that are re"
dex,Can user transactions be confirmed and stored using a 3rd party?,"No at the moment, but we are working on subgraph implementation that could provide our clients the Graph"
dex,So just another question. If we decided to use the contracts we have deployed at a later date on our own DEX would you still get your percentage?,"Idk it at the moment, I will ask our team about it. "
dex,Confirm this If i don't set fees all fees go to Liquidity providers?,"Yes. You can set the total fee in the manage panel, it is charged at each swap and accumulates in the li"
dex,If yes then how do you get a revenue share?,"I need more time to understand it, I will ask team and will back with answer. "
dex,If yes then how do you get a revenue share?,"If the admin not earning, it is normal that we also don't earn. "
dex,they mentioned Bridge contract and relayers,You can check how the Crosschain work in this docs - https://docs.multichain.org/getting-started/how-it-works/cross-chain-router 
dex,Is it possible to Integrate Edgeware to this. Including DEX.,"Sure, we can add your dex contracts as the dex source in the swap section. "
dex,Do you know any template or a service provider to support such initiatives? ,"No, and we have only decentralized solutions... "
dex,D o you have a DEX solution for a new EVM-based chain?,"Yes, but the adding evm-like chain is the service with an additional fee. You can check the prices in this article - https://support.onout.org/hc/1331700057/32/addnewnetwork?category_id=8 "
dex,H ow much would be the cost for a simple DEX (just swap and liquidity features)?,The app cost is 899 USD and adding your evm-like chain is 200 USD. Total: ~1100 USD. 
dex,Does your platform support backend and analytics of swaps similar to https://pancakeswap.finance/info ,"We can set the graph node (https://thegraph.com/docs/en/about/), start a subgraph with the graph"
dex,Does your DEX support graph nodes similar to UniSwap?,"Yes, it is a full clone of the Uniswap v2. "
dex,would it make sense to use the DEX as well as its connected nodes and APIs for getting listed on CoinGecko and CoinMarketCap?,"Yes, for instance you can check the CMC document - C2: Subgraph Sample - https://docs.google.com/document/d/1S4urpzUnO2t7DmS_1dc4EL4tgnnbTObPYXvDeBnukCg/edit#bookmark=kix.5p33g7oj0og8 "
dex,how should we connect the chain,We can add the Cryto chain for 200 USD if it an EVM-like network. 
dex,how to receive the full DEX for automated market making and liquidity offerings?,"With this possibility ( https://onout.org/dex &gt; click get free version ) you will get all feature of uniswap v2 dex, but as I said before, if you need the info app, we can provide it for an additional fee. "
dex,How much would be the total cost to deploy the platform on Cryto chain?,"200 USD for adding an EVM-like chain and when you will set it we can start to set the graph node, starting re"
dex,We previously deployed a DEX connected to Cryto : https://defi.cryto.exchange but it doesn't supply nodes and analytical tools. Can you provide it? It's currently supporting both swap and liquidity features as the main points of view. ,We need to check your contracts' code and if it is a uniswapv2-like we can provide it. 
dex,"And furthermore, it would be great if we can pay the retainers in Cryto native asset: https://nomics.com/assets/cryto3-cryto","No, we accept only ETH, BNB, USDT, BUSD, and USDC. "
dex,Can we assign (add) the Cryto DEX APIs using this link? https://www.crytoscan.com/graphiql ,"No, there are no re"
dex,can the Pancakeswap router be added? So it tracks the allready existing pairs correct?,"No, there are only internal li"
dex,Is there a mode where is wallet connect not necessary before accessing the app?,If you use a desktop browser with installed Metamask it should show the Metamask connection. 
dex,Is it work as a static page and possible to fully publish to GitHub or VPS is required?,"Sure, after purchase you can download a static build of the react app on dash https://dash.onout.org/ "
dex,Is an admin panel allows connect contracts already deployed ? (to setup everything on local host and then publish) ,"It is not possible at the moment, but we can add the feature of the migration settings to another domain if you need. You can check docs about the crosschain app on our: knowledge base - https://support.onout.org/hc/1331700057/category/7 youtube playlist - https://www.youtube.com/playlist?list=PLLtijyRvdwnY"
dex,can you even copy liquidity contracts from uniswap?,"No, with the DEX app you need to create your own uniswap-like contracts in the admin panel, check articles on our knowledge base - https://support.onout.org/hc/1331700057/31/swapcontracts?category_id=2 "
dex,i have a token list but even when saved none show in the drop down and its a json file with a list of all contract addresses?,Did you check this article? https://support.onout.org/hc/1331700057/23/howtoaddtokens?category_id=2 
dex,how you take your % ? Is it sent to you automatically ? Like do you have a control over the code remotely ?,"We will set % manually by dex smart contracts, our dev address has access only to set dev % in each DEXes contracts "
dex,Is payment transferred monthly?,Admin and dev fees can be received only when users add/remove li
dex,What is the best price you can give the paid version for?,"We can't give a discount because the current price is normal to cover the costs of the support, improvements, and implementation of the new features and new products. Why do you need the paid version? "
dex,Can I add a new block chain ( network ) not listed in pre-installed networks?,"You can't add a custom network to the free version manually, only in the paid version or we can add it by ourselves for an additional fee. "
dex,Can I also pay off if I have money in the future?,Why? You will get the free dex to start and when you will start earning above 1000 USD/month we will set the dev fee. 
dex,And have full access to my dex?,"Yes, you will be the owner of your dex's contracts and manage these and the app only by yourself with your admin wallet. "
dex,And it seems this free version will not come with a user interface. So I still need to do some jobs,"Unfortunately, we provide the free version of dex only as the static build of the react application. You can still make modifications to a significant number of application styles despite this. "
dex,Or is there how you can reduce the fee for the paid version of dex to 500$ I'm ready to pay at once 🥺🥺,"We are unable to offer a discount as the current price is necessary to cover the costs of support, improvements, and the implementation of new features and products. 
 "
dex,Is it there any special server requirements,"No, you can even set up it on GitHub pages... "
dex,"We need dex uniswap v3 with polygon mainnet, Is this possible?","We can't fork it, 'cause there is the Business Source License in their Uniswap V3 Core repository with main contracts at the moment - https://docs.uniswap.org/contracts/v3/guides/governance/liscense-modifications "
dex,any other charges 0x aggregator take for adding liquidity?,"0x and direct sources swaps are external services, we don't have any access to their contracts, we can only interact... You need to create li"
dex,What is best and easy way to add liquidity in low cost? I want sell my 1 token at cost $0.5 and i want to add in liquidity pool total 10k token so which is best and low cost liquidity option for me?,If you want that your token price will $0.5 at the start of trading and add 10K tokens to the Li
dex,looking for UNI v2 on a diffrent chain ID ,
farm,can v create multiple pools using your template,You can create multiple staking/farms contracts (shortcode). 2) 
farm,we need to use word press to develop our website. Can this be done??,"Yes, this plugin is developed for WordPress. 3) "
farm,who’ll be the smart contract owner of staking once we purchased.,"In the WP admin panel, when creating and deploying a farm, you will use a Metamask account - this will be the owner of the contract. 4) "
farm,will there be any renewal fees after first purchase.,"No, you can buy it with crypto and constantly receive updates in our dashboard on https://dash.onout.org/ 5) "
farm,will there be a third party control over our revenue generation?,"No, only users who staking define tokens can earn reward tokens with this plugin. 6) "
farm,will we have a complete control over this software once we purchase for our staking plan,"Yes, you can change always the plugin code after purchasing it, but we don't recommend it 'cause after each update, you must change it again and again... You also can check our knowledge base - https://support.onout.org/hc/1331700057/category/3 "
farm,"Also I messed up some how, which theme should I be using with the plug-in for it to work Changed it and can’t get it to work again",I use the theme as in the attached screenshot. 
farm,Have you beer thought of having the plug-in display the total Value locked in the farm? It shouldn’t be a hard addition but very helpful to users,"Yes, you can sponsor it, also we can add % of the total tokens that users stake. - 200 USD "
farm,"In the settings, it’s always set to one network, is that the only network a farm can work on at a time?","Yes, at the moment plugin can use only one network to initialize farms. "
farm,"if any users deposits the token, it'll sent to which wallet address...???",Users can deposit only on the deployed farm address. 
farm,what should be my rewarding wallet address,Can you clarify your 
farm,"Deployed farming address - which you meant is the address which is automatically created, is that..??",This is the main smart contract that the frontend connects to. 
farm,"if my users/investors deposits our token, where it’ll get deposited, to which address.??",To the deployed farming address. 
farm,and how can our company withdraw that token,"You can't withdraw rewards tokens after their transfer to the farm contract, these can only earn by users. Also you can check this article - https://support.onout.org/hc/1331700057/25/what-happens-to-the-remaining-tokens-at-contract-after-staking-period-ends?category_id=3 "
farm,we will be giving rewards to our users/investors who stakes. In that case in which address we have to have our rewarding tokens stored from the company’s side..??,You should transfer rewards tokens to the farm address before starting the farm period. 
farm,can I keep a time bound for my investors to withdraw the token. That’s a withdrawal time condition or withdrawal disable.,"No, users can deposit/withdraw their assets to/from the farm address anytime they want. "
farm,"Can this be internally calculated with your plug in, And have it in the website..??","No, you can also check article how to calculate APY with example - https://support.onout.org/hc/1331700057/21/how-to-calculate-the-apy?category_id=3 "
farm,it is BEP20 compatible?,"Yes, it supports any erc20/bep20-like token. "
farm,are you offering a support service to install the template if help is needed?,"We have the knowledge base, you can check it, and if you will meet any trouble just write us - https://support.onout.org/hc/1331700057/category/3 "
farm,What are the additional gas fees to set it up?,"There are Deploy farm contract, deposit rewarding tokens to farm contract, and start farm period as the additional gas fees. "
farm,by going on the live net?,You can check our live demo of this plugin - https://farm.wpmix.net/ . You also should test this plugin with your test tokens with any supported testnet. 
farm,"is there a possibility to set up diffrent staking/farming periods? Like 6 months, 12 months etc?","Yes, you need to create 2 farm contracts and use them as 2 shortcodes in your WordPress site. "
farm,"we want to config, early withdrawal fees and calculations for earning?","With the farm factory plugin, you don't earn, only your users can earn. For instance: You have distributed your tokens to users and you want them not to sell tokens on the market at a reduced token price. Staking will help you do this, users stake (block) your tokens and can earn either additional your tokens or tokens (any ERC20 or BEP20 depending on the network) that you can provide to users... "
farm,how much bridge cost?,At the moment it is $1000 and it is a beta version 
farm,will you make some dao like tomb or other?,We have the DAOfactory plugin which is based on snaphot.org API. 
farm,can you give me list of chains what dex is support?,"BSC, Polygon, Avalanche, Fantom, Cronos, Fuse, Moonriver, Harmony, Aurora "
farm,Can I stake two tokens that I am not a developer with with this plugin?,You can use AToken for staking and BToken for rewarding. (For instance: SWAP token to stake and USDT token to reward) 
farm,I got one more question regarding farming plugin Can i just add additional tokens into existing pool? Or i have to create a new pool?,You can add reward tokens to the farm contract only between farm periods. You can't add to the active farm period. 
farm,Can u tell me from whrer i can change the backgroud color the file?,"No way at the moment to change it by settings, 'cause it is static script from pancake ui-kit, but you can try to change some styles in building CSS files. "
farm,And decompress the farming plugin to change the colors of the buttons for example?,"Yes, you can change it in ./assets/css/farmfactory.css CSS files. "
farm,Even if I were to whitelist the farm contract?,"You can try using it, but when users will withdraw their funds, they won't get all the tokens the app displays. And you need to create a new farm contract, the old one was broken. "
farm,Need delete old version?,"No, just upload a new one and replace the old one on new "
farm,what will this past for the old farms?,They are stored in the wp database... Nothing will happen. 
farm,how can I use the factory to be able to stake multiple chains?,"Which factory? If you tell about farm plugin, there is only one chain possible to use... "
farm,or would I need to start a new website on wordpress?,"Unfortunately, yes, for this you need to use another WordPress... "
farm,would i need to purchase another plugin?,You can purchase all our plugins)) 
farm,about the farm factory what does scrip purchase offer?,"The plugin files, its updates, and our support. "
farm,so we can change it to our platform name?,"Not sure about that, it is a widget with a shortcode, and as far as I know you can use shortcodes on any WP page with your branding. "
farm,Firstly what final price is?,$899 is the final price. 
farm," I’ve found it on codecanyon and there it costs $935(+VAT of course), on dashboard site I could buy for $899 but only with ETH right ?","Yes, you can buy it for ETH or BNB (using the BSC network) for $899. "
farm,Is it possible to buy with other wallet than the main one which will be connected with software? To keep main address transaction history clear for start.,"Yes, but we need to add all your purchases manually to your main address. "
farm,"Secondly, just to make sure. Is that work with subdomains ? I’d like to setup script on app.example.com to keep example.com for landing page. ",If your WordPress server started on your subdomain then yes. 
farm,"And finally, could you tell me what are the costs now (approx.) to create smart contracts on Polygon, BSC, Ethereum (in separate) I’d like to make sure how much I’ll need to start with this three networks. (without liquidity, only setting up). ",It depends on the gas price... 
farm, And I guess I could enable/disable every supported network on wordpress side at anytime right? To add more in the future.,Sure. 
farm,does the farmfactory script come with an admin panel?,"Yes, it is provided with the WordPress admin panel. "
farm, I want to what do that company will be benifited from my staking?,"We don't know what this company does, please, provide a link to their site, we will research it and if we will understand that we will tell you... "
farm,"If I use Farmfactory and allow the users to do staking, Do I will be binefited with 4 % daily? so that I can share 3% with user and keep 1% from myself?","You do not earn revenue from the Farmfactory application. Only your users are able to earn revenue. The APY earned by the user depends on your deposit to the farm contract, the number of users, and the amount of tokens they have staked. "
farm,So i need fixed the % user get,"Unfortunately, we don't provide and don't have any products with this feature at the moment... "
farm,What is the tokenomics behind the protocol.,"The primary feature of the Farmfactory application is to provide incentives for users who hold your token. Users purchase and stake your token, earning rewards in return. This process does not cause a decrease in the value of your token. You do not earn revenue directly from the application, but rather it is your users who earn revenue through the rewards they receive. The APY earned by users depends on the number of deposits, the number of users, and the amount of tokens they have staked. "
farm,Are there any opposed staking limits,No 
farm,How do the fees work,There is not any fee. 
farm,"When will the rewards be paid out? (Daily, weekly, monthly, or only whenever compounding / taking action)",Users can withdraw their tokens whenever they want. 
farm,Will there be any time lock option?,Users can withdraw their tokens whenever they want. 
farm,Also would it be possible for a user to stake there tokens. And get something other then tokens in return?,No. 
general,Do you install the software?,"Yes, 1 product - 100 USD. "
general,Could I carry out the development of my token and that this in turn be the native token of my exchange?,"Yes, you can add only your token to our Wallet and DEX products, but users can add another manually, with other our products you can set only one token that you want. "
general,How long would it take for it to be ready on my website? ,It depends on how busy our developers are. 
general,How much to set up wallet on my domain ? ,Installation service - 100 USD 
general,"If I wanted to change the image that display on the button, for example change it from that rectangle box into a sword image, what would I change in the CSS?","Yes, you need to use CSS to change styles of buttons. "
general,If my token has a tax will that effect the farming process?,"This can lead to errors, first test your token on the testnet, and then deploy the farm contract to the main... "
general,can i put my own token?,"Yes, you can set as default token any erc20 or bep20 tokens (depending on the network). "
general,"If possible, can I get the same update process?",If you have a license key you will get all updates automatically. 
general,Do I need to request a license from you after purchasing from Envato?," You get a license after purchasing a plugin with a license. If you do have not a license, just download the latest version of the MCWallet plugin from Code Canyon. "
general,Another contact support way for me?,You can also use support@onout.org email to contact us. 
general,What do you mean deploy new contracts?,"When you start managing the DEX plugin, firstly steps are deploying new contracts of your dex that your users will be interacting with actions like creating li"
general, what the benefit of buying it over codecanyon ir should I buy it from your website please let me know,It is your choice if you want to buy plugins by cryptocurrency - use https://dash.onout.org/ or by fiat - use the Codecanyon. 
general,"Hello, is it possible to get more EVM networks added? Optimism and arbitrum","Yes, you can sponsor it. 150 USD for each EVM network. "
general,Also what's your time frame of telegram availability,Monday-Saturday 10 AM - 6 PM (sometimes 10 PM) 
general,Are you giving full source code?,"Yes, there is also front-end source code in the zip file. "
general,can we remove your branding?,"If you have devs, who can change code in react - yes... But after each new our release of this application, you will need to delete ours and put your branding again "
general,how can i buy using crypto?,Our marketplace - https://dash.onout.org/ 
general,update is automatic. or manual?,Manual 
general,can you use custom token?,"Yes, you can use any erc20/bep20-like token. "
general,could you assist in installation?,"We have the knowledge base, you can check it, and if you will meet any trouble just write us - https://support.onout.org/hc/1331700057/category/6 "
general,2 t imes. .I try to provide liquidation but failed.. just lost gas fee..,Can you provide these 2 transactions? 
general,I need some customizations added and would be willing to pay for them for my own use if you guys are interested.,"Please, provide what will you want to customize, we check it and will back with an answer about the possibility of adding. "
general,I'm actually also looking for developers for my mobile app do you guys have experience with this to help me add more features? and/or blockchain developers for our blockchain?,We do not have any developers with experience in mobile development. What kind of work do you need with your blockchain? 
general,Is there a way a specific project can do a link to a specific token?,No 
general,How much gas is needed for the entire bridge to set up the contracts?,It depends on the network that you use for deployment and its load. 
general,Do you have any ui/ux developers u can recommend,No... 
general,Is it possible to add shortcodes in the menu?,Can you clarify your 
general,Is there a discount if we want to buy all the products u have for sale ?,"Yes, you can use the BSC or Polygon networks to get 50 SWAP tokens as a bonus (use SWAP to earn BNB rewards at farm.onout.org ) and also use my EVM address 0x01F69aEfdb0AdE89BC8f8dD9712c4CC4899621E2 as a referral code to get a discount in 50 USD. "
general,Is the source code for smart contracts available when purchasing ur products to give sc auditors to complete audit,"Yes, sure. "
general,Can we add custom tokens to our system?,"Yes, you can add any ERC20-like for all supported EVM-like chains in the plugin. "
general,And also have a lock in period for the token?,There is no that functionality. 
general,I will also pay to add the ethereum chain as well.,200 USD - https://support.onout.org/hc/1331700057/32/addnewnetwork?category_id=8 
general,is it possible to use the plugin on 2 different WordPress servers?,yes 
general,also ifound this now https://vittominacori.github.io/erc20-generator/ is this your product?,"This is not our product, but we are thinking about fork it... "
general,how much would dev cost be to fund this fork?,"Not sure about the estimated time and price, we didn't research it yet... I will answer other "
general,does that come with install support or DIY?,"Installation is an additional service... But yes, we can help you with your "
general,Is it possible for us to order development and adjustments through You to the code?,What kind of development and adjustments do you need? 
general,I would like to know if I can also list BEP 20 Tokens on Binance Smart Chain,"yes, sure, BEP 20 is ERC-20, but just in bsc network. "
general,What kind of skills needed?,React js to add it in the front-end (there are between 3-5 files for changing) and some terminal commands skills to change some config files on the back end in the AWS instance. 
general,how do i make the purchase?,You send payment to the company Ethereum address then we will add products that you purchased to your address on our marketplace and you can download them from there. 
general,do you support adding chain when i buy it from code canyon?,Adding new networks is additional service... You can check prices there - https://support.onout.org/hc/1331700057/32/addnewnetwork?category_id=8 
general,Also i see price difference between dashboard and codecanyon,"Oh, we didn't reduce the price on the dashboard... We will do that asap. "
general,"do you have a solution for api endpoints, to list cmc and cg","No, we don't provide any info and analytics service for dex plugin, but in the soon future if we find the investor for that functionality we can provide it as a separate service. "
general,API Do you have support for api endpoints for dex,"For this, we need to start the server with a subgraph, we don't know yet how to start the graph server with any other EVM-like chain... "
general,how much do you make dex e api endpoints for me,I think we can start learning how to use the graph tools with a new EVM-like chain for $200 USD and if it will work with some other test subgraph we can start to integrate your dex. As I know the first re
general,Ooh okay so they can be hosted on a netlify instance or vercel,"I think yes, these are the ReactJS apps... You also can host these on GitHub pages. "
general,also server requirements,"You can use the GitHub pages, the application is not very costly in terms of power. "
general,It's possible to add a Max button?,you can sponsor it. 
general,You will install it and deploy?,"No, installation is an additional fee service... But you can use our installation guide - https://support.onout.org/hc/1331700057/1/how-to-build-cryptocurrency-wallet-on-own-domain-from-scratch-without-coding-skills?category_id=1 "
general,I have offer for you. We need someone to develop bridge for us connecting Ethereum + Meter + Everscale networks with each other and being able to transfer NFTs as well. Please let me know if it is possible and how much it would cost?,"No, we don't have full-time developers at the moment. The minimum budget amount is 5000$ (to find a new developer). "
general,The 6 month extension is still valid if I make a video for YouTube?,I will ask the manager and get back with a response. 
general,"and I also wanted to comment that my bitcoin wallet address changed... something unheard of with the same private key, is there any explanation about it?",It is strange... We didn't make any changes to the generating addresses... Can you provide more details? 
general,"We will buy the product on Codecanyon, can you give us a special discount? Or will there be a discount on Cyber Monday?","I think Cyber Monday will not be and we can't provide any discount because the current prices for products are normal to cover the costs of the support, improvements, and implementation of the new features and new products. But I'll talk to the team about Cyber Monday... "
general,can't you make a fixed api page like i sent you,"no, it will be a custom API development. "
general,I am still looking for someone to clone this open source project https://app.cennz.net/bridge,"Please, provide its source code. "
general,I used GitHub source code with revenue share model https://swap.edgeverse.exchange ,"Yes, I know it, 'cause of this, I have offered you the info app. "
general,How many hours are you needed?any estimation?,"Idk really do, but I can calculate the approximate costs after the initial research (3-6 hours). "
general,If I buy in codecayon does it work?,"yes, it works. "
general,may you give me the payed version with installment ? As a kind support for you,"We have only 3 ways to provide this product - paid (by cryptocurrencies - https://dash.onout.org/, by card - https://codecanyon.net/item/definance-ethereum-defi-plugin-for-wordpress/29099232) , and free (As you know). We don't plan to add other ways at the moment... "
general,8- how much it cost to add a new network ?,"$200, you can check prices to add any custom EVM-like chain to our products in this article - https://support.onout.org/hc/1331700057/32/addnewnetwork "
general,"I search for an Solution for my upcoming Project, like yours, for example! Let me ask as upfront, do you also guarantee an after-service?","Yes, we offer support, bug fixing, and other related services, as well as additional options such as incorporating custom EVM-like chains into our products or their installation. "
general,...I will check your services at dash.onout.org ...i saw different nice solutions for Dapps! Can we speak about it?,"Absolutely, we are available to answer any "
